开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票公司
4757.0,4757.0,4757.0,4757.0,4757.0,4757.0,4757.0,4757.0,4757.0,4757.0,腾讯控股
140.87674290519234,140.66540782005467,142.92734517553077,138.53501471515662,13212773.478452807,3868263906.1963425,-4.031910868194243,1.6621568215261722,0.07050494008829095,0.2571284422955644,腾讯控股
179.74051217839897,179.40041153602218,181.95460712907504,177.1221365685565,14472584.13069252,5695206764.499275,408.899704268862,84.61584981454901,5.753322535826379,0.4245092091518167,腾讯控股
-29.255,-29.255,-29.231,-29.255,452300.0,2277000.0,-27200.0,-1900.0,-46.588,0.03,腾讯控股
-16.462,-16.549,-16.277,-16.821,3892000.0,357239392.0,-0.17,-1.18,-0.758,0.15,腾讯控股
68.698,69.474,70.833,67.591,9896000.0,1724711936.0,2.11,0.01,0.004,0.21,腾讯控股
302.241,303.0,306.899,299.135,18863537.0,5818048512.0,3.77,1.46,0.873,0.29,腾讯控股
720.758,720.273,729.008,705.714,439775008.0,148682129408.0,2247.37,4950.0,73.279,26.17,腾讯控股
9291.0,9291.0,9291.0,9291.0,9291.0,9291.0,9291.0,9291.0,9291.0,9291.0,苹果
15.463617479281025,15.47655903562587,15.707713916693574,15.227563233236467,23715795.19319772,1697388712.6173716,3854.4417134861696,0.19743945753955439,0.019392960929932195,0.6990420837369499,苹果
44.37219108581808,44.40439914092964,44.857462849187804,43.91515486144864,26903510.666103896,4379025604.782663,371529.18285800336,21.30093726563405,0.8957149261235287,1.176120901102084,苹果
-7.48,-7.48,-7.48,-7.48,88800.0,0.0,-1000.0,-600.0,-10.52,0.0,苹果
-7.24,-7.24,-7.24,-7.25,7169400.0,0.0,-0.14,-0.14,-0.01,0.05,苹果
-7.0,-7.0,-6.99,-7.01,13715155.0,0.0,-0.14,0.0,0.0,0.12,苹果
17.105,17.08,17.310000000000002,16.855,29263706.0,0.0,1.74,0.265,0.02,0.81,苹果
196.0,196.21,197.99,195.04,332607168.0,43686812928.0,35811636.0,1450.0,12.0,13.71,苹果
5289.0,5289.0,5289.0,5289.0,5289.0,5289.0,5289.0,5289.0,5289.0,5289.0,贵州茅台
334.2365362072225,334.689873321989,340.53712043864624,328.59916997542075,28969.835318585745,1715075265.4187937,-1.3807165815844198,-0.04525051994705992,0.3702779353374929,0.48002457931556064,贵州茅台
674.1260866774545,674.3951668912588,682.1575672822404,666.5941726381724,23461.906404030568,2553382270.044873,188.16875327320787,122.0728615937539,15.341208519450507,0.9751664291025881,贵州茅台
-160.9,-160.91,-160.88,-160.95,238.0,1421413.0,-5925.0,-3500.0,-171.98,0.02,贵州茅台
-89.57,-89.51,-87.96,-92.1,13985.0,158050735.0,-3.24,-1.23,-1.66,0.21,贵州茅台
-4.13,-4.03,-2.25,-6.38,25436.0,556106064.0,-0.04,0.0,0.0,0.31,贵州茅台
545.45,545.9,554.55,531.15,38022.0,2441569677.0,3.17,1.54,1.87,0.5,贵州茅台
2499.19,2512.21,2539.09,2396.21,406318.0,23270689792.0,4187.5,3887.5,161.0,56.83,贵州茅台
